Num Qubits,Num Terms,Actual Eigenvalues,Estimated Eigenvalue
1,4,[1.45178624+0.j 0.1058001 +0.j],1.1530143357160705
1,4,[1.25813821+0.j 0.12186271+0.j],1.1253766644353924
1,4,[1.64247227+0.j 0.49629433+0.j],1.7862691210346684
1,4,[1.45830309+0.j 1.08402038+0.j],1.5199330344866633
1,4,[1.56673819+0.j 1.56673819+0.j],1.8987161532795533
1,4,[2.42701732+0.j 2.06935867+0.j],2.431367175347332
1,4,[1.15994157+0.j 0.61595853+0.j],1.133937033778639
1,4,[2.0109678 +0.j 1.11541557+0.j],2.181968458928334
1,4,[1.42145007+0.j 0.83346248+0.j],2.2668087786665376
1,4,[2.61843888+0.j 0.72308151+0.j],1.6508025575493899
1,4,100,1642,[1.11458512 2.40512157],-1.0206328884438314
1,4,100,482,[0.19341209 1.68775604],-1.4961807893809458
