,Matrix,True Eigenvalue,Average Estimation Error,Max Estimation Error
0,"[[0.6820938  0.0589601 ]
 [0.0589601  0.58010136]]",(0.5531430516698354+0j),0.026700468421821166,0.026700468421821166
1,"[[0.30588879 0.09488003]
 [0.09488003 0.60413003]]",(0.2782633252674988+0j),0.002659504152212111,0.002659504152212111
2,"[[0.87175016 0.20184576]
 [0.20184576 0.92970921]]",(0.6968142109468899+0j),0.010205093871103688,0.010205093871103688
3,"[[0.12571612 0.10664619]
 [0.10664619 0.60789015]]",(0.10318151082437232+0j),0.023160162116393074,0.023160162116393074
4,"[[0.87820444 0.3585753 ]
 [0.3585753  0.94295417]]",(0.5505454465339152+0j),0.0026065059793115575,0.0026065059793115575
5,"[[0.52549475 0.48667076]
 [0.48667076 0.50340339]]",(0.027652979149939597+0j),0.0006322349914183942,0.0006322349914183942
6,"[[0.8900107  0.81951652]
 [0.81951652 0.76130275]]",(0.0036173285882884817+0j),0.0036173285882884817,0.0036173285882884817
7,"[[0.44257833 0.10516424]
 [0.10516424 0.4809391 ]]",(0.3548596701288943+0j),0.018008245408118517,0.018008245408118517
8,"[[0.91102731 0.33021641]
 [0.33021641 0.59665588]]",(0.38812281410687716+0j),0.002689296098469185,0.002689296098469185
9,"[[0.03143115 0.0738833 ]
 [0.0738833  0.27307868]]",(0.010631740344819951+0j),0.010631740344819951,0.010631740344819951
